n = 7000
1 threads -> 16 threads

4 nodes * 4 processes
nprocesses  nthreads  n serial  parallel
16	10	7000	0.0000000000	59.6555180550
16	11	7000	0.0000000000	86.5864918232
16	12	7000	0.0000000000	135.7645320892
16	13	7000	0.0000000000	142.7346220016
16	14	7000	0.0000000000	191.2329399586
16	15	7000	0.0000000000	205.6265020370
16	16	7000	0.0000000000	336.0062348843
16	1	7000	0.0000000000	39.1180560589
16	2	7000	0.0000000000	30.6566691399
16	3	7000	0.0000000000	23.9423580170
16	4	7000	0.0000000000	18.7653388977
16	5	7000	0.0000000000	16.1173729897
16	6	7000	0.0000000000	13.6604440212
16	7	7000	0.0000000000	11.9147930145
16	8	7000	0.0000000000	10.7559909821
16	9	7000	0.0000000000	11.4485359192

2 nodes * 8 processes
nprocesses  nthreads  n serial  parallel
16	10	7000	0.0000000000	560.4967179298
16	1	7000	0.0000000000	47.5510261059
16	2	7000	0.0000000000	34.9847588539
16	3	7000	0.0000000000	26.8113210201
16	4	7000	0.0000000000	21.7772290707
16	5	7000	0.0000000000	100.3954880238
16	6	7000	0.0000000000	85.3566079140
16	7	7000	0.0000000000	170.4656031132
16	8	7000	0.0000000000	463.7494189739
16	9	7000	0.0000000000	501.4034390450


8 nodes * 2 processes
nprocesses  nthreads  n serial  parallel
16	10	7000	0.0000000000	8.8101100922
16	11	7000	0.0000000000	8.2394621372
16	12	7000	0.0000000000	7.5831320286
16	13	7000	0.0000000000	7.1350588799
16	14	7000	0.0000000000	6.6343019009
16	15	7000	0.0000000000	6.4767761230
16	16	7000	0.0000000000	6.1037049294
16	1	7000	0.0000000000	39.1312158108
16	2	7000	0.0000000000	30.6326911449
16	3	7000	0.0000000000	23.5825481415
16	4	7000	0.0000000000	18.9106659889
16	5	7000	0.0000000000	15.7893478870
16	6	7000	0.0000000000	13.5370638371
16	7	7000	0.0000000000	11.8833169937
16	8	7000	0.0000000000	10.7187809944
16	9	7000	0.0000000000	9.7702817917
